"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.020664710E-1,-5.877903104E-2,8.411765099E-3,2.702522278E-2,6.523875342E-2
3.070664710E-1,-3.931245208E-2,3.742611408E-2,-1.232814789E-2,5.566117259E-2
3.120664710E-1,-4.751217365E-2,8.262550831E-2,-2.873992920E-2,9.955081516E-2
3.170664710E-1,-5.169641972E-2,1.265769005E-1,-4.238796234E-2,1.431466762E-1
3.220664710E-1,-5.619332194E-2,1.633756161E-1,-5.902862549E-2,1.825750804E-1
3.270664710E-1,-6.147870421E-2,1.836876869E-1,-5.961322784E-2,2.026685332E-1
3.320664710E-1,-7.247745991E-2,2.191103697E-1,-7.386970520E-2,2.423201800E-1
3.370664710E-1,-8.949834108E-2,2.412612438E-1,-7.887363434E-2,2.691430679E-1
3.420664710E-1,-1.066301167E-1,2.449209690E-1,-6.448745728E-2,2.747997362E-1
3.470664710E-1,-1.206205487E-1,2.591588497E-1,-3.417396545E-2,2.878897117E-1
3.520664710E-1,-1.114994287E-1,2.602013350E-1,1.258850098E-3,2.830873399E-1
3.570664710E-1,-1.388818920E-1,2.523591518E-1,4.198169708E-2,2.910941159E-1
3.620664710E-1,-1.324964166E-1,2.256072760E-1,4.859924316E-2,2.661124383E-1
3.670664710E-1,-1.218854487E-1,1.992903948E-1,6.816673279E-2,2.433504212E-1
3.720664710E-1,-1.295553148E-1,1.870805025E-1,6.056594849E-2,2.354823308E-1
3.770664710E-1,-1.294682622E-1,1.382504702E-1,8.055877686E-2,2.058274519E-1
3.820664710E-1,-1.240879297E-1,1.197787523E-1,8.267211914E-2,1.912575308E-1
3.870664710E-1,-1.120199263E-1,9.515404701E-2,5.702972412E-2,1.576551489E-1
3.920664710E-1,-9.981167316E-2,6.185281277E-2,-1.516342163E-2,1.183979303E-1
3.970664710E-1,-9.044727683E-2,3.391754627E-2,-4.935169220E-2,1.084744180E-1
4.020664710E-1,-7.608461380E-2,8.855104446E-3,-7.433032990E-2,1.067346208E-1
4.070664710E-1,-4.996502399E-2,-9.114384651E-3,-9.239006042E-2,1.054300664E-1
4.120664710E-1,-4.813945293E-2,-1.956272125E-2,-9.047794342E-2,1.043377460E-1
4.170664710E-1,-2.362176776E-2,-4.174983501E-2,-6.748962402E-2,8.280027770E-2
4.220664710E-1,7.667124271E-3,-6.741595268E-2,-5.275726318E-2,8.594779979E-2
4.270664710E-1,2.620771527E-2,-8.820152283E-2,-3.942203522E-2,1.001021969E-1
4.320664710E-1,4.603177309E-2,-9.490931034E-2,4.915237427E-3,1.055976367E-1
4.370664710E-1,6.601753831E-2,-1.027445793E-1,1.264572144E-2,1.227789812E-1
4.420664710E-1,8.841836452E-2,-1.098603010E-1,3.599643707E-2,1.455432458E-1
4.470664710E-1,8.576810360E-2,-1.216074228E-1,4.997348785E-2,1.569773308E-1
4.520664710E-1,9.435814619E-2,-1.269053221E-1,4.496765137E-2,1.644095806E-1
4.570664710E-1,8.850717545E-2,-1.304960251E-1,2.073287964E-2,1.590364265E-1
4.620664710E-1,9.425237775E-2,-1.219772100E-1,-3.623962402E-4,1.541495437E-1
4.670664710E-1,1.040936708E-1,-1.010714769E-1,-4.384326935E-2,1.515690207E-1
4.720664710E-1,1.029663384E-1,-1.027325392E-1,-9.163379669E-2,1.719092614E-1
4.770664710E-1,9.804460406E-2,-9.531724453E-2,-1.211957932E-1,1.827198450E-1
4.820664710E-1,1.002997756E-1,-7.027757168E-2,-1.334495544E-1,1.811291408E-1
4.870664710E-1,1.076364815E-1,-4.105830193E-2,-1.251592636E-1,1.701065477E-1
4.920664710E-1,1.090819836E-1,-2.011883259E-2,-1.000614166E-1,1.493851855E-1
4.970664710E-1,1.324077398E-1,-6.907343864E-3,-3.263664246E-2,1.365454920E-1
5.020664710E-1,1.761520207E-1,2.108001709E-2,3.447914124E-2,1.807282842E-1
5.070664710E-1,1.746023744E-1,6.753683090E-3,6.182193756E-2,1.853471159E-1
5.120664710E-1,1.936542094E-1,1.830887794E-2,1.234807968E-1,2.304011176E-1
5.170664710E-1,2.168269455E-1,1.786351204E-3,1.871070862E-1,2.864021248E-1
5.220664710E-1,2.277018726E-1,6.503582001E-3,2.145271301E-1,3.129094580E-1
5.270664710E-1,2.477177680E-1,4.269242287E-3,2.092895508E-1,3.243214995E-1
5.320664710E-1,2.520002425E-1,-1.402592659E-2,2.002754211E-1,3.221972892E-1
5.370664710E-1,2.411773503E-1,-3.812944889E-2,1.458911896E-1,2.844373540E-1
5.420664710E-1,2.456981242E-1,-6.779837608E-2,9.518146515E-2,2.720729669E-1
5.470664710E-1,2.457689643E-1,-8.065629005E-2,3.077030182E-2,2.604892175E-1
5.520664710E-1,2.351914495E-1,-8.568072319E-2,-4.128074646E-2,2.536933272E-1
5.570664710E-1,2.333202660E-1,-8.406782150E-2,-1.082878113E-1,2.706141076E-1
5.620664710E-1,2.216975987E-1,-7.053434849E-2,-1.661033630E-1,2.858587882E-1
5.670664710E-1,2.089322507E-1,-3.885841370E-2,-2.292528152E-1,3.126012076E-1
5.720664710E-1,1.980961114E-1,-1.546180248E-2,-2.719497681E-1,3.368053044E-1
5.770664710E-1,1.764610857E-1,2.165555954E-2,-2.835731506E-1,3.346956973E-1
5.820664710E-1,1.675855368E-1,6.355118752E-2,-2.483901978E-1,3.063027194E-1
5.870664710E-1,1.581671536E-1,9.441471100E-2,-2.368774414E-1,3.000698392E-1
5.920664710E-1,1.430430561E-1,1.371567249E-1,-2.040081024E-1,2.844162248E-1
5.970664710E-1,1.409022361E-1,1.825655699E-1,-1.437826157E-1,2.717665690E-1
6.020664710E-1,1.225367039E-1,2.018532753E-1,-7.758235931E-2,2.485538393E-1
6.070664710E-1,1.002522260E-1,2.089453936E-1,7.243156433E-3,2.318645070E-1
6.120664710E-1,6.057378650E-2,1.889156103E-1,6.433200836E-2,2.085591013E-1
6.170664710E-1,2.192065120E-2,1.978821754E-1,1.499910355E-1,2.492692942E-1
6.220664710E-1,-4.745841026E-3,1.917598248E-1,1.978206635E-1,2.755492121E-1
6.270664710E-1,-2.322322130E-2,1.888760328E-1,1.965532303E-1,2.735811509E-1
6.320664710E-1,-5.571433902E-2,1.899505854E-1,1.907091141E-1,2.748732047E-1
6.370664710E-1,-6.235438585E-2,1.819992065E-1,1.504755020E-1,2.442430292E-1
6.420664710E-1,-7.749751210E-2,1.675714254E-1,1.233892441E-1,2.220606957E-1
6.470664710E-1,-8.573740721E-2,1.507318020E-1,6.784152985E-2,1.862080887E-1
6.520664710E-1,-9.218659997E-2,1.425509453E-1,1.593112946E-2,1.705078945E-1
6.570664710E-1,-7.292211056E-2,1.256847382E-1,-5.848884583E-2,1.566372647E-1
6.620664710E-1,-6.192427874E-2,1.007000208E-1,-8.357620239E-2,1.447760066E-1
6.670664710E-1,-3.356349468E-2,8.459234238E-2,-1.240339279E-1,1.538401373E-1
6.720664710E-1,5.616128445E-3,8.231949806E-2,-1.440496445E-1,1.660070502E-1
6.770664710E-1,4.368489981E-2,6.673038006E-2,-1.481447220E-1,1.682503276E-1
6.820664710E-1,6.811460853E-2,4.195344448E-2,-1.416568756E-1,1.626848543E-1
6.870664710E-1,7.973948121E-2,2.064788342E-2,-1.148395538E-1,1.413253094E-1
6.920664710E-1,6.728520989E-2,-4.927873611E-3,-6.311130524E-2,9.238300849E-2
6.970664710E-1,4.567050934E-2,-2.582943439E-2,-2.265548706E-2,5.715090724E-2
7.020664710E-1,8.930920064E-2,4.103159904E-2,3.041267395E-2,1.028817582E-1
7.070664710E-1,9.592890739E-2,9.174668789E-2,1.214590073E-1,1.799224846E-1
7.120664710E-1,-3.313910961E-2,3.818261623E-2,1.557111740E-1,1.637134157E-1
7.170664710E-1,-1.413962543E-1,-2.817726135E-2,1.530189514E-1,2.102419042E-1
7.220664710E-1,-2.233992517E-1,-9.401750565E-2,1.485643387E-1,2.842848567E-1
7.270664710E-1,-2.721355855E-1,-1.325062513E-1,1.042613983E-1,3.201345385E-1
7.320664710E-1,-2.847715020E-1,-1.704229116E-1,3.462219238E-2,3.336727040E-1
7.370664710E-1,-3.075563312E-1,-1.981360912E-1,-2.278518677E-2,3.665623715E-1
7.420664710E-1,-2.678276300E-1,-2.004476786E-1,-1.042890549E-1,3.504099288E-1
7.470664710E-1,-2.174282074E-1,-2.204074860E-1,-1.568183899E-1,3.470540198E-1
7.520664710E-1,-1.719693840E-1,-2.116919756E-1,-1.869878769E-1,3.306832739E-1
7.570664710E-1,-1.161316633E-1,-2.081834078E-1,-2.028865814E-1,3.130333200E-1
