"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.482379160E-1,8.614161611E-2,9.198010445E0,-2.991028309E0,9.672490210E0
1.503276560E-1,1.004985496E-1,9.188439369E0,-3.010170937E0,9.669469844E0
1.524173440E-1,1.052841991E-1,9.198010445E0,-3.014956474E0,9.680105549E0
1.545070310E-1,1.004985496E-1,9.217152596E0,-3.034099102E0,9.704213481E0
1.565967190E-1,1.052841991E-1,9.241081238E0,-3.048455954E0,9.731482462E0
1.586864060E-1,1.244267747E-1,9.279366493E0,-3.067598581E0,9.774061878E0
1.607760940E-1,1.244267747E-1,9.265008926E0,-3.053241730E0,9.755929350E0
1.628658330E-1,1.531406492E-1,9.298508644E0,-3.029313564E0,9.780718569E0
1.649555210E-1,1.722832322E-1,9.293723106E0,-3.014956474E0,9.772048569E0
1.670452080E-1,1.914258152E-1,9.322437286E0,-3.005385160E0,9.796776039E0
1.691348960E-1,2.153540403E-1,9.312865257E0,-2.986242771E0,9.782304562E0
1.712245830E-1,2.440679073E-1,9.322437286E0,-2.971885681E0,9.787722442E0
1.733143230E-1,2.632105052E-1,9.332008362E0,-2.981456995E0,9.800242122E0
1.754040100E-1,2.871387303E-1,9.341579437E0,-2.962314367E0,9.804226713E0
1.774936980E-1,2.919243574E-1,9.346364975E0,-2.947957516E0,9.804601552E0
1.795833850E-1,3.254238665E-1,9.351150513E0,-2.933600664E0,9.805912985E0
1.816731250E-1,3.637090325E-1,9.360722542E0,-2.904886723E0,9.807842660E0
1.837628120E-1,3.732803464E-1,9.351150513E0,-2.900100946E0,9.797649699E0
1.858525000E-1,3.684946895E-1,9.351150513E0,-2.904886723E0,9.798886218E0
1.879421870E-1,3.876372576E-1,9.346364975E0,-2.880958557E0,9.787988716E0
1.900319270E-1,4.019941986E-1,9.341579437E0,-2.890529871E0,9.786821172E0
1.921216140E-1,3.972085714E-1,9.360722542E0,-2.876172781E0,9.800677069E0
1.942113020E-1,3.828516304E-1,9.360722542E0,-2.876172781E0,9.800105701E0
1.963009890E-1,3.780659735E-1,9.341579437E0,-2.885744095E0,9.784454979E0
1.983906770E-1,3.445664644E-1,9.332008362E0,-2.847458839E0,9.762844255E0
2.004804160E-1,3.349951804E-1,9.332008362E0,-2.823530674E0,9.755558790E0
2.025701040E-1,2.967100143E-1,9.298508644E0,-2.837887764E0,9.726453968E0
2.046597910E-1,2.727817893E-1,9.317651749E0,-2.847458839E0,9.746849022E0
2.067494790E-1,2.823530734E-1,9.317651749E0,-2.833101988E0,9.742937147E0
2.088392190E-1,2.727817893E-1,9.332008362E0,-2.857030153E0,9.763370897E0
2.109289060E-1,2.727817893E-1,9.336793900E0,-2.861815929E0,9.769345968E0
